questionId,question,answer,type,block
CO_01,"מה היה ""הרוח של סנט לואיס""?",שם המטוס שבו חצה צ'ארלס לינדברג את האוקיינוס האטלנטי בפעם הראשונה (1927),not useful,general
CO_02,כמה רגליים ביארד?,3,not useful,general
CO_03,"מי היתה אום כלת'ום, שעל שמה קיבלה הזמרת אום כלת'ום את כינויה?",אחת מבנותיו של הנביא מוחמד,not useful,general
CO_04,"דגלה של איזו מדינה מכונה ""דגל חמשת הצלבים""?",גאורגיה,not useful,general
CO_05,"עמלץ לבן, יאגו ולימוני הם כולם מינים של איזה בעל חיים?",כריש,not useful,general
CO_06,באיזה כלי ניגן ארתורו טוסקניני לפני שהיה למנצח?,צ'לו,not useful,general
CO_07,"באיזו סדרת טלוויזיה נטבע הביטוי ""גיסנו""?","""רמזור""",not useful,general
CO_08,"בסדרה ""גברת פלפלת"", מה גורם לגברת להתכווץ מדי פעם?",כפית הקסמים שלה,not useful,general
CO_09,"מאיזה שיר לקוח המשפט: ""אביב בא, ביקשה אביבית להיות""?","""דבר אלי בפרחים"", שכתב אורי אסף",not useful,general
CO_10,באיזו אצבע של היד גדלה הציפורן בקצב האיטי ביותר?,זרת,not useful,general
CO_11,באיזו ארץ הוקמה להקת א-הא?,נורווגיה,not useful,general
CO_12,כיצד מתה הרקדנית איזדורה דנקן?,הצעיף הארוך שעטתה הסתבך בגלגלי המכונית שבה נסעה ומפרקתה נשברה,not useful,general
CO_13,מהי ביקורת התיאטרון הקצרה ביותר שפורסמה בעברית?,"חיים גמזו על ההצגה ""סמי ימות בשש"": ""לגבי דידי היה יכול למות בחמש""",not useful,general
CO_14,באיזה ספר מופיעה דמות ששמה מיס האווישם?,"""תקוות גדולות"", מאת צ'רלס דיקנס",not useful,general
CO_15,מה שמה העברי הרשמי של שכונת הר חומה בדרום-מזרח ירושלים?,חומת שמואל,not useful,general
CO_16,"""מת אב ומת אלול ומת חומם"" - מה השורה הבאה בשירו של נתן יונתן?","""גם נאסף תשרי ומת עמם""",not useful,general
CO_17,"בשיר ""שלומית בונה סוכה"" - אילו פריטים שלומית לא תשכח לשים בסוכה?","לולב והדסים, ענף של ערבה, רימון בתוך עליו וכל פירות הסתיו",not useful,general
CO_18,"בסדרה ""הילדים משכונת חיים"", מה לא אהב יוני לאכול?",קובה,not useful,general
CO_19,מהו שמו העברי של הצמח קלנדולה?,ציפורני חתול,not useful,general
CO_20,מה צבע הפריחה של כליל החורש?,ורוד,not useful,general
CO_21,"באיזו דמות שייקספירית עוסק הסרט ""פעמוני חצות"" (1965), שביים אורסון וולס?",פלסטאף,not useful,general
CO_22,מה החלופה העברית למילה לוסטרה?,נברשת,not useful,general
CO_23,"בסדרה ""רחוב סומסום"", מה שמותיהם המקוריים של אריק ובנץ באנגלית?",ברט וארני,not useful,general
CO_24,"מה המילה העברית החדשה למחלת הצליאק, שנקראה בעבר כרסת?",דגנת,not useful,general
CO_25,באיזו עיר נמצא בית האופרה לה סקאלה?,"מילאנו, איטליה",not useful,general
CO_26,מהו השם הלועזי של המחלה לייפת כיסתית?,סיסטיק פיברוזיס,not useful,general
